filename;content;junior;senior;expert;consensus
110.yaml;"TITLE : Investments Microservice\nDESCRIPTION :\n      API for Personal Investment Plan and related investments  functionality.\nENDPOINTS :\n    - GET /public/pip/config\n      Returns basic config info, e.g. whether the user should be allowed to set up a new Personal Investment Plan,\n      product description, possibility or requirement to create new securities account etc. For performance reasons, it\n      supports query param ""fields"" that can be used with value ""newPlanAllowed"" to limit the response to this [...]\n    - GET /public/pip/themes\n      Get list of available themes with their description and visual representation.\n    - GET /public/pip/themes/{themeId}\n      Get details of a theme.\n    - GET /public/pip/setup-options\n      Returns a set of options for setup of Personal Investment Plan for a chosen fund (or in future package), such as\n      the minimum amount, possible investment frequencies, settlement accounts etc.\n    - POST /public/pip/investment-plans\n    - GET /public/appropriateness-test/definition\n      Returns the definition of appropriateness test, as a questionnaire. If called with 'themeId' query param, the\n      service may return only a subset of questions that is relevant to the funds within the given theme.\n    - PUT /public/appropriateness-test\n    - GET /public/sec-account-setup-options\n    - POST /public/sec-account-setups\n    - GET /public/sec-account-setups/{id}\n    - GET /public/utils/download\n      Wrapper endpoint for downloading documents\n    - GET /public/pip/funds\n      Returns all funds usable for regular investing.";other;savings;savings;savings
111.yaml;TITLE : Bank Feeds API\nDESCRIPTION :\n      Bank Feeds API enables your SMB users to set up bank feeds from accounts in your application to supported\n      accounting platforms.  A bank feed is a connection between a source bank account—in your application—and a target\n      bank account in a supported accounting package.  [Read more...](https://docs.codat.io/bank-feeds-api/overview)\n      [See our OpenAPI spec](https://github.com/codatio/oas)\nENDPOINTS :\n    - GET /companies/{companyId}/connections/{connectionId}/connectionInfo/bankFeedAccounts\n      List bank feed bank accounts\n    - PUT /companies/{companyId}/connections/{connectionId}/connectionInfo/bankFeedAccounts\n      Create bank feed bank accounts\n    - PATCH /companies/{companyId}/connections/{connectionId}/connectionInfo/bankFeedAccounts/{accountId}\n      Update bank feed bank account\n    - GET /companies/{companyId}/connections/{connectionId}/data/bankAccounts/{accountId}/bankTransactions\n      List bank transactions for bank account\n    - GET /companies/{companyId}/connections/{connectionId}/options/bankAccounts/{accountId}/bankTransactions\n      List push options for bank account bank transactions\n    - POST /companies/{companyId}/connections/{connectionId}/push/bankAccounts/{accountId}/bankTransactions\n      Create bank transactions;banking;banking;banking;banking
113.yaml;TITLE : Payment Services\nDESCRIPTION :\n      A set of API endpoints that allow consumer to initiate, settle, and modify payments through Payment Services.\n      Consumer can use the API to accept card payments.   ## Authentication To connect to the Payments API, consumer\n      must use OAuth Tokens.\nENDPOINTS :\n    - POST /payment/miles/authorization\n      Redeem miles from a user account and send unique authorization code to consumer\n    - POST /payment/authorization\n      Obtain an authorization code to charge a certain amount to a specific form of payment;payment;payment;payment;payment
114.yaml;TITLE : Gpay Fund Transfer API Document\nDESCRIPTION :\n      Gpays Fund Transfer Public API Document   **Error codes:** - 1009 - Invalid HMAC  - 1010 - Server Exception  -\n      1011 - Invalid Merchant   - 1012 - Invalid Phone Number   - 1013 - Invalid Identity Number  - 1014 - Invalid Full\n      Name   - 1015 - Invalid Bank Code   - 1016 - Invalid Type (of fund-transfer wallet to bank)   **Bank account\n      test:** - Account number: 0687041020972  - Bank code: VCCB  **List bank codes:** [Click\n      here](https://drive.google.com/file/d/1xx7PeiHifbvkZBTZT8ujuYrHM3Sms52f/view?usp=sharing)   ___ **API v2**:\n      improve security, error tracking, [click here](https://app.swaggerhub.com/apis/tuna-gpay/g-pay- [...]\nENDPOINTS :\n    - POST /fund-transfers/wallet-to-wallet\n      Fundtransfer from wallet to wallet\n    - GET /fund-transfers/wallet-to-wallet/{fund_transfer_id}\n      Get detail transfer\n    - GET /fund-transfers/w2w/{fund_transfer_id}\n      Get transfer detail\n    - POST /fund-transfers/wallet-to-bank\n      Fundtransfer from wallet to bank account\n    - GET /fund-transfers/wallet-to-bank/{fund_transfer_id}\n      Get detail transfer\n    - GET /fund-transfers/w2b/{fund_transfer_id}\n      Get transfer detail\n    - GET /merchants/wallet\n      Get merchant account;transfer;transfer;transfer;transfer
115.yaml;TITLE : Locations API\nDESCRIPTION :\n      The Locations API provides access to MasterCard's ATM and Merchant location database\nENDPOINTS :\n    - GET /atms/v1/atm\n      Returns detailed information about an ATM location.  This information can be used to display ATMs on a map,\n      provide driving directions, or show special ATM features.\n    - GET /atms/v1/country\n      Returns countries with valid ATM locations.\n    - GET /atms/v1/countrysubdivision\n      Returns country subdivisions that have ATM locations.  A country subdivision is a segment within a country (ex\n      state or province). Country subdivisions are only available for the US and Canada.\n    - GET /merchants/v1/category\n      Returns a list of all merchant categories for contactless and cash back merchants (example:  Airline, Retail,\n      etc.).\n    - GET /merchants/v1/country\n      Returns countries that have Merchants offering the following services: accept contactless-enabled cards and\n      devices, allow customers to add money to an eligible MasterCard or Maestro prepaid card, issue MasterCard Prepaid\n      Travel cards, offer cash at checkout when paying with a Debit MasterCard or Maestro Card.\n    - GET /merchants/v1/countrysubdivision\n      Returns country subdivisions that have Merchants offering the following services: accept contactless-enabled cards\n      and devices, allow customers to add money to an eligible MasterCard or Maestro prepaid card, issue MasterCard\n      Prepaid Travel cards, offer cash at checkout when paying with a Debit MasterCard or Maestro Card. A country [...]\n    - GET /merchants/v1/merchant\n      Returns merchant location information for merchants offering the following services: accept contactless-enabled\n      cards and devices, allow customers to add money to an eligible MasterCard or Maestro prepaid card, issue\n      MasterCard Prepaid Travel cards, participate in the MasterCard Easy Savings program, and offer cash at [...];banking;banking;banking;banking
116.yaml;TITLE : Transfers API\nDESCRIPTION :\n      >Versions 1 and 2 of the Transfers API are deprecated. If you are just starting your implementation, use the\n      latest version.  This API provides endpoints that you can use to transfer funds, whether when [paying out to a\n      transfer instrument](https://docs.adyen.com/marketplaces-and-platforms/payout-to-users/on-demand-payouts),\n      [sending funds to third parties](https://docs.adyen.com/marketplaces-and-platforms/business-accounts/send-receive-\n      funds) for users with business bank accounts, or to [request a payout for a grant\n      offer](https://docs.adyen.com/marketplaces-and-platforms/capital). The API also supports use cases for [...]\nENDPOINTS :\n    - GET /transactions\n      Get all transactions\n    - GET /transactions/{id}\n      Get a transaction\n    - POST /transfers\n      Transfer funds;transfer;transfer;transfer;transfer
117.yaml;"TITLE : Identity API\nDESCRIPTION :\n      <span class=""tablenote""><b>Note:</b> Not all the account related fields are returned for an authenticated user.\n      The fields returned in the response are controlled by the scopes and are available only to select developers\n      approved by business units.</span><br /><br />Retrieves the authenticated user's account profile information. It\n      can be used to let users log into your app or site using eBay, which frees you from needing to store and protect\n      user's PII (Personal Identifiable Information) data.\nENDPOINTS :\n    - GET /user/\n      This method retrieves the account profile information for an authenticated user, which requires a User access\n      token. What is returned is controlled by the scopes. For a business account you use the default scope\n      commerce.identity.readonly, which returns all the fields in the businessAccount container. These are [...]";user-password;user-password;user-password;user-password
118.yaml;TITLE : Morningstar Next Best Dollar API\nDESCRIPTION :\n      Next Best Dollar divides respondent's target savings for a year into different investment and savings options such\n      as 401k, Emergency Savings Account, debt repayment etc as per a heurisitics-based algorithm.    **Household Based\n      Decisions**    NBD is capable of generating household-based advice catering to partner's retirement accounts,\n      investments etc.    **Customizable Investment Algorithm**       The API can provide for a customized investment\n      logic through config details.    **Step-wise Logic**    The algorithm works on a step-wise logic resembling a\n      waterfall distribution of target saving amount. These steps can be reordered, included/excluded using [...]\nENDPOINTS :\n    - POST /starflow/ade-nbd/dev/v1/runs\n      post request, the main call;savings;savings;savings;savings
119.yaml;TITLE : Multibanking API\nDESCRIPTION :\n      Whole multibanking API\nENDPOINTS :\n    - GET /public/external-banks/connections\n      Delivers list of external bank connections\n    - POST /public/external-banks/{bankId}/connections\n      (DRAFT) Set ups a new ext-bank connection (KBR in MBS context)\n    - GET /public/external-banks/{bankId}/connections/{connectionId}\n      Delivers single connection identified by ID\n    - DELETE /public/external-banks/{bankId}/connections/{connectionId}\n      Deletes the ext-bank connection identified by ID\n    - PATCH /public/external-banks/{bankId}/connections/{connectionId}\n      (DRAFT) Updates or replaces KBR data\n    - POST /public/external-banks/{bankId}/connections/{connectionId}/deactivation\n      Deactivates the connection with the ext-bank\n    - POST /public/external-banks/{bankId}/connections/{connectionId}/reactivation\n      Reactivates the connection with the ext-bank\n    - GET /public/external-banks/{bankId}/connections/{connectionId}/certificates/{certificateId}\n      Delivers information related to the certificate\n    - GET /public/external-banks\n      (DRAFT) Delivers list of available external-banks, at the moment only those offered via MBS (Multibank standard);other;banking;banking;banking
12.yaml;TITLE : Price Simulations API\nDESCRIPTION :\n        > Check the new [Pricing onboarding guide](https://developers.vtex.com/docs/guides/pricing-overview). We created\n      this guide to improve the onboarding experience for developers at VTEX. It assembles all documentation on our\n      Developer Portal about Pricing and is organized by focusing on the developer's journey    The Price Simulations\n      API allows you to configure custom price selectors for B2B stores, based on the context set by the [Orders\n      Configuration app](https://developers.vtex.com/docs/guides/vtex-order-configuration).    ## Custom Prices    In\n      this section, you can create a specific shopping scenario with the criteria you want. For explaining [...]\nENDPOINTS :\n    - POST /_v/custom-prices/rules\n      Create price association\n    - DELETE /_v/custom-prices/rules/{priceAssociationId}\n      Disassociate price association by ID\n    - GET /_v/custom-prices/rules/{priceAssociationId}\n      Get price association by ID\n    - PUT /_v/custom-prices/rules/{priceAssociationId}\n      Update price association by ID\n    - GET /_v/custom-prices/session/schema\n      Get custom prices schema\n    - POST /_v/custom-prices/session/schema\n      Create or Update custom prices schema\n    - POST /sessions/\n      Update Order Configuration;banking;other;;NO_CONSENSUS
120.yaml;TITLE : Trading Positions API\nDESCRIPTION :\n      API to fetch start-of-day/end-of-day trading positions\nENDPOINTS :\n    - GET /job/{jobTag}/start\n      Starts an IBOR SOD/EOD/OPENORD job\n    - GET /job/{jobTag}/status\n      Returns job status information for recent runs.\n    - GET /job/{jobTag}/status/{runNumber}\n      Returns job status information for recent runs.\n    - GET /openOrders\n      Get Open Orders.\n    - GET /trading-positions/positions\n      Get account positions.;trading;trading;trading;trading
121.yaml;TITLE : POS Terminal Management API\nDESCRIPTION :\n      This API provides endpoints for managing your point-of-sale (POS) payment terminals. You can use the API to obtain\n      information about a specific terminal, retrieve overviews of your terminals and stores, and assign terminals to a\n      merchant account or store.  For more information, refer to [Assign terminals](https://docs.adyen.com/point-of-\n      sale/automating-terminal-management/assign-terminals-api).  ## Authentication Each request to the Terminal\n      Management API must be signed with an API key. For this, obtain an API Key from your Customer Area, as described\n      in [How to get the API key](https://docs.adyen.com/development-resources/api-credentials#generate-api-key). [...]\nENDPOINTS :\n    - POST /assignTerminals\n      Assign terminals\n    - POST /findTerminal\n      Get the account or store of a terminal\n    - POST /getStoresUnderAccount\n      Get the stores of an account\n    - POST /getTerminalDetails\n      Get the details of a terminal\n    - POST /getTerminalsUnderAccount\n      Get the list of terminals;other;other;other;other
122.yaml;TITLE : Authentication and Authorization API\nDESCRIPTION :\n      This API is for user authentication during local/SSO login and token validation for other API requests\nENDPOINTS :\n    - POST /auth/v1/login\n      Local login\n    - GET /auth/v1/validate\n      Validate token;user-password;client;user-password;user-password
123.yaml;TITLE : FirstClientRegistry API\nDESCRIPTION :\n      The FirstClientRegistry API allows you (authorized Partner developers) to retrieve various information from our\n      client's storefronts.\nENDPOINTS :\n    - GET /products\n      List all products\n    - GET /merchants\n      List all merchants\n    - GET /outlets\n      List all outlets\n    - GET /customers\n      List all customers;client;client;;client
124.yaml;"TITLE : Arespass\nDESCRIPTION :\n      Analyzes a password and calculates its entropy.\nENDPOINTS :\n    - GET /about\n      Metadata about this API&#58; version number, release date and available languages.  Metadata requests are NOT\n      billed.\n    - GET /ec\n      The entropy calculator - alias ec -, analyzes a password and calculates its entropy.  Entropy calculator requests\n      are billed.";user-password;user-password;user-password;user-password
126.yaml;TITLE : Investment History\nDESCRIPTION :\n      API for retrieving information about a members investments.\nENDPOINTS :\n    - GET /v1/members/{multiPartMemberId}/investments\n      Gets a summary of the members investments.\n    - GET /v1/members/{multiPartMemberId}/investments/{investmentId}\n      Gets the history of each transaction for a particular investment.;other;savings;savings;savings
127.yaml;TITLE : Payments\nDESCRIPTION :\n      This API creates a payment order, cancels a payment order, and creates a simulated payment order for a physical or\n      business customer.  The API can also retrieve a list of payment orders and the details and status of a specific\n      payment order.  Payment orders can be of different payment types and for international or domestic payments.\nENDPOINTS :\n    - GET /\n      Retrieves a list of payment orders for a customer.\n    - POST /\n      Creates a payment order for a customer.\n    - POST /simulate_payment\n      Creates a simulated payment order for a customer.\n    - GET /{instant_payment_id}\n      Retrieves details of a specific payment order for a customer.\n    - GET /{instant_payment_id}/status\n      Retrieves the status of a specific payment order for a customer.\n    - POST /{instant_payment_id}/cancel\n      Cancels a specific payment order for a customer.;payment;payment;payment;payment
128.yaml;TITLE : IBKR 3rd Party Web API\nDESCRIPTION :\n      Interactive Brokers Web API for 3rd Party Companies\nENDPOINTS :\n    - GET /accounts\n      Brokerage Accounts\n    - POST /accounts/{account}/order_impact\n      Return margin impact info\n    - GET /accounts/{account}/orders\n      Open Orders\n    - POST /accounts/{account}/orders\n      Place Order\n    - DELETE /accounts/{account}/orders/{CustomerOrderId}\n      Cancel Order\n    - GET /accounts/{account}/orders/{CustomerOrderId}\n      Return specific order info\n    - PUT /accounts/{account}/orders/{CustomerOrderId}\n      Modify Order\n    - GET /accounts/{account}/positions\n      Account Positions\n    - GET /accounts/{account}/summary\n      Account Values Summary\n    - GET /accounts/{account}/trades\n      Returns trades in account\n    - GET /marketdata/exchange_components\n      Exchange Components\n    - GET /marketdata/snapshot\n      Market Data Snapshot\n    - POST /oauth/access_token\n      Obtain a access token\n    - POST /oauth/live_session_token\n      Obtain a live session token\n    - POST /oauth/request_token\n      Obtain a request token\n    - GET /secdef\n      Get security definition;other;trading;trading;trading
129.yaml;TITLE : customer-info-customer-api\nDESCRIPTION :\n      customer information management  X-API-Key:   - non-prod: `576f5125-62af-4e75-aefe-f0eca615d46d`\nENDPOINTS :\n    - GET /customer-info/v1/customers/phones/{phoneNo}/loyalty\n      Get customer by phone number only member loyalty type;client;client;client;client
13.yaml;TITLE : The Consumer Financial Protection Bureau\nDESCRIPTION :\n      Learn more about home mortgage data, download the data yourself, or build new tools using our API.\nENDPOINTS :\n    - GET /data\n      Get a list of all datasets.\n    - GET /data/hmda\n      Get metadata for this dataset.\n    - GET /data/hmda/concept/{concept}\n      Get information about a particular concept in this dataset.\n    - GET /data/hmda/slice/{slice}\n      Query a slice in this dataset.\n    - GET /data/hmda/slice/{slice}/metadata\n      Get the metadata for a slice in this dataset.\n    - GET /data/{dataset}\n      Get metadata about a dataset.;other;other;;other
130.yaml;TITLE : Open Data API\nDESCRIPTION :\n      Latest Swagger specification for OpenData\nENDPOINTS :\n    - GET /atms\n      Gets a list of all `ATM` objects.\n    - HEAD /atms\n      Gets header information on the current set of `ATM` data\n    - GET /branches\n      Gets a list of all `Branch` objects.\n    - HEAD /branches\n      Gets header information on the current set of `Branch` data\n    - GET /business-current-accounts\n      Gets a list of all `Branch Current Account` objects.\n    - HEAD /business-current-accounts\n      Gets header information on the current set of `Business Current Account` data\n    - GET /commercial-credit-cards\n      Gets a list of all `Commerical Credit Card` objects.\n    - HEAD /commercial-credit-cards\n      Gets header information on the current set of `Commerical Credit Card` data\n    - GET /personal-current-accounts\n      Gets a list of all `Personal Current Account` objects.\n    - HEAD /personal-current-accounts\n      Gets header information on the current set of `Personal Current Account` data\n    - GET /unsecured-sme-loans\n      Gets a list of all `Unsercured SME Lending` objects.\n    - HEAD /unsecured-sme-loans\n      Gets header information on the current set of `Unsercured SME Lending` data;other;other;banking;other
132.yaml;TITLE : SimpliVPNAPI\nDESCRIPTION :\n\nENDPOINTS :\n    - POST /disable-user\n      DisableUser\n    - POST /enable-user\n      EnableUser\n    - POST /login\n      Login\n    - POST /register\n      Register\n    - GET /server-summaries\n    - GET /servers\n    - POST /username-available\n      UsernameAvailable;user-password;user-password;user-password;user-password
133.yaml;TITLE : Cash Transfer Order API\nDESCRIPTION :\n      Cash Transfer Order API Specification\nENDPOINTS :\n    - GET /cash-transfer-to-fidelity\n      Search cash transfer orders based on search criteria.\n    - POST /cash-transfer-to-fidelity\n      Create an order on a customer's account.\n    - GET /cash-transfer-to-fidelity/{orderId}\n      Return an individual order by order reference number.\n    - GET /cash-transfer-to-fidelity/{orderId}/tracking\n      Transfer Tracking\n    - GET /cash-transfer-to-fidelity/{orderId}/letter-of-authority\n      Download a letter of authority.\n    - GET /cash-transfer-to-fidelity/{orderId}/confirmation-of-benefit\n      Download a Confirmation of Benefit.;transfer;transfer;transfer;transfer
134.yaml;TITLE : currency-conversion-rate\nDESCRIPTION :\n      Get rates between 2 currencies based on brand and date\nENDPOINTS :\n    - POST /conversion-rate\n      Get rates;currency;currency;currency;currency
135.yaml;TITLE : License Manager API\nDESCRIPTION :\n      ## Welcome!    The License Manager API allows you to create users, modify their names and emails, as well as add\n      and remove roles from users.    ### ATTRIBUTES    |Attribute name | Description |  |:------------|--------------|\n      |accountName | Account name in VTEX License Manager |  |environment | Environment on which you want to run the\n      query e.g. vtexcommercestable |  |userId      | Unique user identification string |  |roleId      | Integer that\n      represents a role, can be looked up on the License Manager UI |\nENDPOINTS :\n    - GET /api/license-manager/site/pvt/logins/list/paged\n      Get List of Users\n    - GET /api/license-manager/site/pvt/roles/list/paged\n      Get List of Roles\n    - POST /api/license-manager/users\n      Create User\n    - GET /api/license-manager/users/{userId}\n      Get User\n    - GET /api/license-manager/users/{userId}/roles\n      Get Roles by User/appKey\n    - PUT /api/license-manager/users/{userId}/roles\n      Put Roles in User/appKey\n    - DELETE /api/license-manager/users/{userId}/roles/{roleId}\n      Remove Role from User/appKey\n    - GET /api/vlm/account\n      Get information about account\n    - GET /api/vlm/account/stores\n      Get Stores\n    - GET /api/vlm/appkeys\n      Get appKeys from account\n    - POST /api/vlm/appkeys\n      Create new appkey\n    - PUT /api/vlm/appkeys/{id}\n      Update appkey;user-password;user-password;user-password;user-password
136.yaml;"TITLE : eBay Finances API\nDESCRIPTION :\n      This API is used to retrieve seller payouts and monetary transaction details related to those payouts.\nENDPOINTS :\n    - GET /payout\n      <div class=""msgbox_important""><p class=""msgbox_importantInDiv"" data-mc-autonum=""&lt;b&gt;&lt;span\n      style=&quot;color: #dd1e31;&quot; class=&quot;mcFormatColor&quot;&gt;Important! &lt;/span&gt;&lt;/b&gt;""><span\n      class=""autonumber""><span><b><span style=""color: #dd1e31;"" [...]\n    - GET /payout/{payout_Id}\n      <div class=""msgbox_important""><p class=""msgbox_importantInDiv"" data-mc-autonum=""&lt;b&gt;&lt;span\n      style=&quot;color: #dd1e31;&quot; class=&quot;mcFormatColor&quot;&gt;Important! &lt;/span&gt;&lt;/b&gt;""><span\n      class=""autonumber""><span><b><span style=""color: #dd1e31;"" [...]\n    - GET /payout_summary\n      <div class=""msgbox_important""><p class=""msgbox_importantInDiv"" data-mc-autonum=""&lt;b&gt;&lt;span\n      style=&quot;color: #dd1e31;&quot; class=&quot;mcFormatColor&quot;&gt;Important! &lt;/span&gt;&lt;/b&gt;""><span\n      class=""autonumber""><span><b><span style=""color: #dd1e31;"" [...]\n    - GET /seller_funds_summary\n      <div class=""msgbox_important""><p class=""msgbox_importantInDiv"" data-mc-autonum=""&lt;b&gt;&lt;span\n      style=&quot;color: #dd1e31;&quot; class=&quot;mcFormatColor&quot;&gt;Important! &lt;/span&gt;&lt;/b&gt;""><span\n      class=""autonumber""><span><b><span style=""color: #dd1e31;"" [...]\n    - GET /transaction\n      <div class=""msgbox_important""><p class=""msgbox_importantInDiv"" data-mc-autonum=""&lt;b&gt;&lt;span\n      style=&quot;color: #dd1e31;&quot; class=&quot;mcFormatColor&quot;&gt;Important! &lt;/span&gt;&lt;/b&gt;""><span\n      class=""autonumber""><span><b><span style=""color: #dd1e31;"" [...]\n    - GET /transaction_summary\n      <div class=""msgbox_important""><p class=""msgbox_importantInDiv"" data-mc-autonum=""&lt;b&gt;&lt;span\n      style=&quot;color: #dd1e31;&quot; class=&quot;mcFormatColor&quot;&gt;Important! &lt;/span&gt;&lt;/b&gt;""><span\n      class=""autonumber""><span><b><span style=""color: #dd1e31;"" [...]\n    - GET /transfer/{transfer_Id}\n      <div class=""msgbox_important""><p class=""msgbox_importantInDiv"" data-mc-autonum=""&lt;b&gt;&lt;span\n      style=&quot;color: #dd1e31;&quot; class=&quot;mcFormatColor&quot;&gt;Important! &lt;/span&gt;&lt;/b&gt;""><span\n      class=""autonumber""><span><b><span style=""color: #dd1e31;"" [...]";transfer;payment;transfer;transfer
